Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 0A2110G04928

Model Number: AP8853
RPDU Serial Number: 0A2110G05188
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	17:54:56	apc488888	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:0A2110G05188)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/09/2025	07:44:44	0.63	0.63	12658.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	07:34:44	0.63	0.65	12658.7	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	07:24:44	0.65	0.65	12658.6	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	07:14:44	0.63	0.63	12658.4	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/09/2025	07:04:44	0.63	0.63	12658.3	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/09/2025	06:54:44	0.63	0.63	12658.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	06:44:44	0.63	0.65	12658.1	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	06:34:44	0.63	0.63	12658.0	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/09/2025	06:24:44	0.63	0.63	12657.9	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/09/2025	06:14:44	0.63	0.63	12657.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	06:04:44	0.63	0.65	12657.7	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	05:54:44	0.63	0.65	12657.6	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
